r [um],n,q,q2
3.100000, 1.493255, 0.615600, 2.235969
3.200000, 1.492941, 0.590400, 2.235023
3.300000, 1.492618, 0.564400, 2.234047
3.400000, 1.492284, 0.537600, 2.233041
3.500000, 1.491941, 0.510000, 2.232005
3.600000, 1.491587, 0.481600, 2.230939
3.700000, 1.491223, 0.452400, 2.229842
3.800000, 1.490850, 0.422400, 2.228716
3.900000, 1.490466, 0.391600, 2.227560
4.000000, 1.490072, 0.360000, 2.226374
4.100000, 1.489668, 0.327600, 2.225157
4.200000, 1.489254, 0.294400, 2.223911
4.300000, 1.488830, 0.260400, 2.222635
4.400000, 1.488396, 0.225600, 2.221329
4.500000, 1.487952, 0.190000, 2.219992
4.600000, 1.487497, 0.153600, 2.218626
4.700000, 1.487033, 0.116400, 2.217229
4.800000, 1.486558, 0.078400, 2.215803
4.900000, 1.486073, 0.039600, 2.214346
5.000000, 1.485578, 0.000000, 2.212860
0.000000, 1.498029, 1.000000, 2.250411
0.100000, 1.498024, 0.999600, 2.250396
0.200000, 1.498009, 0.998400, 2.250351
0.300000, 1.497984, 0.996400, 2.250276
0.400000, 1.497950, 0.993600, 2.250170
0.500000, 1.497905, 0.990000, 2.250035
0.600000, 1.497850, 0.985600, 2.249870
0.700000, 1.497786, 0.980400, 2.249675
0.800000, 1.497712, 0.974400, 2.249450
0.900000, 1.497627, 0.967600, 2.249194
1.000000, 1.497533, 0.960000, 2.248909
1.100000, 1.497429, 0.951600, 2.248594
1.200000, 1.497315, 0.942400, 2.248248
1.300000, 1.497191, 0.932400, 2.247873
1.400000, 1.497057, 0.921600, 2.247467
1.500000, 1.496913, 0.910000, 2.247032
1.600000, 1.496759, 0.897600, 2.246566
1.700000, 1.496595, 0.884400, 2.246071
1.800000, 1.496421, 0.870400, 2.245545
1.900000, 1.496238, 0.855600, 2.244990
2.000000, 1.496044, 0.840000, 2.244404
2.100000, 1.495840, 0.823600, 2.243788
2.200000, 1.495627, 0.806400, 2.243143
2.300000, 1.495403, 0.788400, 2.242467
2.400000, 1.495170, 0.769600, 2.241761
2.500000, 1.494926, 0.750000, 2.241025
2.600000, 1.494673, 0.729600, 2.240259
2.700000, 1.494409, 0.708400, 2.239463
2.800000, 1.494136, 0.686400, 2.238638
2.900000, 1.493852, 0.663600, 2.237782
3.000000, 1.493559, 0.640000, 2.236896
3.100000, 1.493256, 0.615600, 2.235980
3.200000, 1.492942, 0.590400, 2.235034
3.300000, 1.492619, 0.564400, 2.234057
3.400000, 1.492285, 0.537600, 2.233051
3.500000, 1.491942, 0.510000, 2.232015
3.600000, 1.491588, 0.481600, 2.230949
3.700000, 1.491224, 0.452400, 2.229853
3.800000, 1.490851, 0.422400, 2.228727
3.900000, 1.490467, 0.391600, 2.227570
4.000000, 1.490073, 0.360000, 2.226384
4.100000, 1.489669, 0.327600, 2.225168
4.200000, 1.489255, 0.294400, 2.223921
4.300000, 1.488831, 0.260400, 2.222645
4.400000, 1.488397, 0.225600, 2.221338
4.500000, 1.487953, 0.190000, 2.220002
4.600000, 1.487498, 0.153600, 2.218636
4.700000, 1.487034, 0.116400, 2.217239
4.800000, 1.486559, 0.078400, 2.215813
4.900000, 1.486074, 0.039600, 2.214356
5.000000, 1.485579, 0.000000, 2.212869
0.000000, 1.498030, 1.000000, 2.250422
0.100000, 1.498025, 0.999600, 2.250407
0.200000, 1.498010, 0.998400, 2.250362
0.300000, 1.497985, 0.996400, 2.250287
0.400000, 1.497950, 0.993600, 2.250182
0.500000, 1.497906, 0.990000, 2.250047
0.600000, 1.497851, 0.985600, 2.249882
0.700000, 1.497787, 0.980400, 2.249686
0.800000, 1.497712, 0.974400, 2.249461
0.900000, 1.497628, 0.967600, 2.249206
1.000000, 1.497534, 0.960000, 2.248920
1.100000, 1.497430, 0.951600, 2.248605
1.200000, 1.497315, 0.942400, 2.248260
1.300000, 1.497191, 0.932400, 2.247884
1.400000, 1.497057, 0.921600, 2.247479
1.500000, 1.496914, 0.910000, 2.247043
1.600000, 1.496760, 0.897600, 2.246578
1.700000, 1.496596, 0.884400, 2.246082
1.800000, 1.496422, 0.870400, 2.245556
1.900000, 1.496238, 0.855600, 2.245001
2.000000, 1.496045, 0.840000, 2.244415
2.100000, 1.495841, 0.823600, 2.243799
2.200000, 1.495628, 0.806400, 2.243154
2.300000, 1.495404, 0.788400, 2.242478
2.400000, 1.495171, 0.769600, 2.241772
2.500000, 1.494927, 0.750000, 2.241036
2.600000, 1.494674, 0.729600, 2.240270
2.700000, 1.494410, 0.708400, 2.239474
2.800000, 1.494137, 0.686400, 2.238648
2.900000, 1.493853, 0.663600, 2.237792
3.000000, 1.493560, 0.640000, 2.236906
3.100000, 1.493256, 0.615600, 2.235990
3.200000, 1.492943, 0.590400, 2.235044
3.300000, 1.492619, 0.564400, 2.234068
3.400000, 1.492286, 0.537600, 2.233062
3.500000, 1.491942, 0.510000, 2.232026
3.600000, 1.491589, 0.481600, 2.230959
3.700000, 1.491225, 0.452400, 2.229863
3.800000, 1.490851, 0.422400, 2.228737
3.900000, 1.490468, 0.391600, 2.227581
4.000000, 1.490074, 0.360000, 2.226394
4.100000, 1.489670, 0.327600, 2.225178
4.200000, 1.489256, 0.294400, 2.223931
4.300000, 1.488832, 0.260400, 2.222655
4.400000, 1.488398, 0.225600, 2.221348
4.500000, 1.487953, 0.190000, 2.220012
